#node1	node2	node1_string_internal_id	node2_string_internal_id	node1_external_id	node2_external_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
CD79B	CD22	1858043	1842254	9606.ENSP00000376544	9606.ENSP00000085219	0	0	0	0	0.195	0	0.900	0.659	0.970
WIF1	WNT3A	1847019	1846912	9606.ENSP00000286574	9606.ENSP00000284523	0	0	0	0	0.054	0	0.900	0.713	0.970
GNAT3	TAS2R1	1858594	1857537	9606.ENSP00000381339	9606.ENSP00000371932	0	0	0	0	0	0	0.900	0.703	0.969
GCG	CALCA	1859292	1851388	9606.ENSP00000387662	9606.ENSP00000331746	0	0	0	0	0.055	0	0.900	0.706	0.969
HAO2	AGXT	1849865	1848429	9606.ENSP00000316339	9606.ENSP00000302620	0	0	0	0	0.465	0.141	0.900	0.416	0.969
MUC5AC	GCNT3	1862009	1858361	9606.ENSP00000435591	9606.ENSP00000379377	0	0	0	0	0	0	0.900	0.698	0.968
LRAT	RBP2	1851974	1843309	9606.ENSP00000337224	9606.ENSP00000232217	0	0	0	0	0.043	0.360	0.900	0.533	0.967
SLC17A7	SLC32A1	1842841	1842664	9606.ENSP00000221485	9606.ENSP00000217420	0	0	0	0	0.084	0	0.800	0.839	0.967
SOST	WNT3A	1848323	1846912	9606.ENSP00000301691	9606.ENSP00000284523	0	0	0	0	0	0	0.900	0.691	0.967
SLC2A2	HNF1A	1850555	1844515	9606.ENSP00000323568	9606.ENSP00000257555	0	0	0	0	0.055	0	0.900	0.683	0.967
FZD9	WNT8B	1852976	1852354	9606.ENSP00000345785	9606.ENSP00000340677	0	0	0	0	0.047	0.376	0.900	0.522	0.967
KIF19	KIF25	1857872	1853047	9606.ENSP00000374566	9606.ENSP00000346401	0	0	0	0.712	0.464	0.292	0.900	0.693	0.966
VIP	CALCA	1854549	1851388	9606.ENSP00000356213	9606.ENSP00000331746	0	0	0	0	0.049	0	0.900	0.668	0.965
MUC6	MUC17	1860626	1848442	9606.ENSP00000406861	9606.ENSP00000302716	0	0	0	0	0	0	0.900	0.666	0.965
HES6	ASCL1	1846287	1845903	9606.ENSP00000272937	9606.ENSP00000266744	0	0	0	0	0.052	0.115	0.900	0.628	0.964
ALDH1A2	CYP26B1	1843974	1842113	9606.ENSP00000249750	9606.ENSP00000001146	0	0	0	0	0.049	0.100	0.900	0.630	0.964
SFTPA1	SFTPA2	1859988	1855660	9606.ENSP00000397082	9606.ENSP00000361400	0	0	0	0.987	0.486	0.360	0.900	0.708	0.964
TRH	PRL	1848532	1848376	9606.ENSP00000303452	9606.ENSP00000302150	0	0	0	0	0	0	0	0.963	0.963
TDGF1	LEFTY1	1847689	1846227	9606.ENSP00000296145	9606.ENSP00000272134	0	0	0	0	0.052	0.162	0.900	0.577	0.961
APOA2	APOA4	1854701	1853595	9606.ENSP00000356969	9606.ENSP00000350425	0	0	0	0	0	0	0.900	0.627	0.961
MAEL	ASZ1	1854677	1846917	9606.ENSP00000356846	9606.ENSP00000284629	0	0	0	0	0.360	0	0.900	0.448	0.961
GCG	TRH	1859292	1848532	9606.ENSP00000387662	9606.ENSP00000303452	0	0	0	0	0	0	0.900	0.624	0.960
ADCY8	GPR83	1847008	1843679	9606.ENSP00000286355	9606.ENSP00000243673	0	0	0	0	0.072	0	0.900	0.596	0.959
MAEL	TDRD1	1854677	1844087	9606.ENSP00000356846	9606.ENSP00000251864	0	0	0	0	0.158	0.145	0.900	0.506	0.959
GCG	SST	1859292	1847077	9606.ENSP00000387662	9606.ENSP00000287641	0	0	0	0	0.067	0	0	0.957	0.958
MAEL	PIWIL2	1854677	1853409	9606.ENSP00000356846	9606.ENSP00000349208	0	0	0	0	0.259	0.145	0.900	0.424	0.958
GPC3	NDST4	1858180	1845531	9606.ENSP00000377836	9606.ENSP00000264363	0	0	0	0	0.042	0.292	0.900	0.464	0.958
CD19	CD22	1862074	1842254	9606.ENSP00000437940	9606.ENSP00000085219	0	0	0	0	0.264	0.285	0	0.925	0.957
VIP	SCTR	1854549	1842186	9606.ENSP00000356213	9606.ENSP00000019103	0	0	0	0	0	0	0.900	0.596	0.957
CD79B	BLK	1858043	1844665	9606.ENSP00000376544	9606.ENSP00000259089	0	0	0	0	0.242	0.360	0.900	0.210	0.956
LGI3	ADAM23	1848395	1845533	9606.ENSP00000302297	9606.ENSP00000264377	0	0	0	0	0	0	0.900	0.574	0.955
VIP	GIP	1854549	1853529	9606.ENSP00000356213	9606.ENSP00000350005	0	0	0	0	0	0	0.900	0.573	0.955
TF	CFTR	1859071	1842118	9606.ENSP00000385834	9606.ENSP00000003084	0	0	0	0	0	0	0.900	0.573	0.955
TRH	NTS	1848532	1844400	9606.ENSP00000303452	9606.ENSP00000256010	0	0	0	0	0	0	0.900	0.574	0.955
GCG	O3FAR1	1859292	1855492	9606.ENSP00000387662	9606.ENSP00000360538	0	0	0	0	0	0	0.900	0.576	0.955
GCG	NTS	1859292	1844400	9606.ENSP00000387662	9606.ENSP00000256010	0	0	0	0	0	0	0.900	0.574	0.955
SNAP25	SLC17A7	1844344	1842841	9606.ENSP00000254976	9606.ENSP00000221485	0	0	0	0	0.218	0	0.900	0.480	0.955
SOX2	TDGF1	1850559	1847689	9606.ENSP00000323588	9606.ENSP00000296145	0	0	0	0	0.090	0.054	0.900	0.530	0.954
MUC5AC	MUC17	1862009	1848442	9606.ENSP00000435591	9606.ENSP00000302716	0	0	0	0	0	0	0.900	0.550	0.953
SNAP25	SLC32A1	1844344	1842664	9606.ENSP00000254976	9606.ENSP00000217420	0	0	0	0	0.351	0.065	0.900	0.308	0.952
SLC17A6	SLC32A1	1845295	1842664	9606.ENSP00000263160	9606.ENSP00000217420	0	0	0	0	0.084	0	0.800	0.763	0.952
SFTPA1	SFTPD	1859988	1855655	9606.ENSP00000397082	9606.ENSP00000361366	0	0	0	0.820	0.291	0.285	0.900	0.814	0.952
CRABP1	CYP26A1	1848075	1842997	9606.ENSP00000299529	9606.ENSP00000224356	0	0	0	0	0.046	0	0.900	0.532	0.951
CALCA	SCTR	1851388	1842186	9606.ENSP00000331746	9606.ENSP00000019103	0	0	0	0	0	0	0.900	0.532	0.951
LRAT	CYP26A1	1851974	1842997	9606.ENSP00000337224	9606.ENSP00000224356	0	0	0	0	0.056	0	0.900	0.507	0.949
ASZ1	TDRD1	1846917	1844087	9606.ENSP00000284629	9606.ENSP00000251864	0	0	0	0	0.167	0	0.900	0.427	0.948
PKLR	PCK1	1852273	1850185	9606.ENSP00000339933	9606.ENSP00000319814	0	0	0	0	0.053	0	0.900	0.502	0.948
GAL	PPY	1845782	1843068	9606.ENSP00000265643	9606.ENSP00000225992	0	0	0	0	0	0	0.900	0.502	0.948
GCG	SCTR	1859292	1842186	9606.ENSP00000387662	9606.ENSP00000019103	0	0	0	0	0	0	0.900	0.504	0.948
GCG	GNAT3	1859292	1858594	9606.ENSP00000387662	9606.ENSP00000381339	0	0	0	0	0	0	0.900	0.501	0.947
APCS	TTR	1844350	1843448	9606.ENSP00000255040	9606.ENSP00000237014	0	0	0	0	0.054	0	0.900	0.488	0.947
GAD2	SNAP25	1844680	1844344	9606.ENSP00000259271	9606.ENSP00000254976	0	0	0	0	0.169	0	0.900	0.424	0.947
PCSK2	INS	1845168	1844030	9606.ENSP00000262545	9606.ENSP00000250971	0	0	0	0	0.102	0	0.900	0.456	0.946
CALCA	TSHR	1851388	1847934	9606.ENSP00000331746	9606.ENSP00000298171	0	0	0	0	0.109	0	0.900	0.440	0.945
GPC3	APOA2	1858180	1854701	9606.ENSP00000377836	9606.ENSP00000356969	0	0	0	0	0.463	0	0.900	0.047	0.944
GCG	MC4R	1859292	1848101	9606.ENSP00000387662	9606.ENSP00000299766	0	0	0	0	0	0	0.900	0.470	0.944
PCSK1	INS	1849029	1844030	9606.ENSP00000308024	9606.ENSP00000250971	0	0	0	0	0.053	0	0.900	0.455	0.943
NTRK1	SHC4	1861874	1851173	9606.ENSP00000431418	9606.ENSP00000329668	0	0	0	0	0	0.730	0.800	0	0.943
GPC3	WNT3A	1858180	1846912	9606.ENSP00000377836	9606.ENSP00000284523	0	0	0	0	0.092	0.456	0.800	0.493	0.943
SNAP25	INS	1844344	1844030	9606.ENSP00000254976	9606.ENSP00000250971	0	0	0	0	0	0	0.900	0.459	0.943
SOX2	ZIC3	1850559	1847072	9606.ENSP00000323588	9606.ENSP00000287538	0	0	0	0	0.162	0.057	0.900	0.371	0.943
GIP	SCTR	1853529	1842186	9606.ENSP00000350005	9606.ENSP00000019103	0	0	0	0	0	0	0.900	0.449	0.942
GCG	PCSK1	1859292	1849029	9606.ENSP00000387662	9606.ENSP00000308024	0	0	0	0	0.052	0	0.900	0.440	0.942
GRIN2A	GRIA1	1851485	1846982	9606.ENSP00000332549	9606.ENSP00000285900	0	0	0	0.648	0.060	0.170	0.900	0.872	0.941
NPY5R	PPY	1852206	1843068	9606.ENSP00000339377	9606.ENSP00000225992	0	0	0	0	0	0	0.900	0.437	0.941
NTS	UTS2	1844400	1842225	9606.ENSP00000256010	9606.ENSP00000054668	0	0	0	0	0.346	0	0.900	0.173	0.941
WNT8B	WNT3A	1852354	1846912	9606.ENSP00000340677	9606.ENSP00000284523	0	0	0	0.872	0	0.388	0.900	0.674	0.941
GNAT3	CNR2	1858594	1856124	9606.ENSP00000381339	9606.ENSP00000363596	0	0	0	0	0	0.170	0.900	0.337	0.940
HNF4A	TTR	1849587	1843448	9606.ENSP00000312987	9606.ENSP00000237014	0	0	0	0	0.054	0	0.900	0.425	0.940
CDH10	CDH9	1845555	1843273	9606.ENSP00000264463	9606.ENSP00000231021	0	0	0	0.979	0.134	0.359	0.900	0.758	0.940
PIWIL2	ASZ1	1853409	1846917	9606.ENSP00000349208	9606.ENSP00000284629	0	0	0	0	0.235	0	0.900	0.283	0.940
MUC21	MUC17	1856474	1848442	9606.ENSP00000365473	9606.ENSP00000302716	0	0	0	0	0	0	0.900	0.429	0.940
GNAT3	GRM4	1858594	1856056	9606.ENSP00000381339	9606.ENSP00000363296	0	0	0	0	0.056	0	0.900	0.412	0.939
GNAT3	ADCY8	1858594	1847008	9606.ENSP00000381339	9606.ENSP00000286355	0	0	0	0	0.054	0.295	0.900	0.182	0.938
GIP	CALCA	1853529	1851388	9606.ENSP00000350005	9606.ENSP00000331746	0	0	0	0	0	0	0.900	0.412	0.938
SSTR5	SSTR1	1847454	1845937	9606.ENSP00000293897	9606.ENSP00000267377	0	0	0	0.931	0.052	0.360	0.900	0.935	0.938
SLC18A3	SNAP25	1856047	1844344	9606.ENSP00000363229	9606.ENSP00000254976	0	0	0	0	0.059	0	0.900	0.376	0.936
PRL	INS	1848376	1844030	9606.ENSP00000302150	9606.ENSP00000250971	0	0	0	0	0	0	0	0.935	0.936
GABRB2	GABRA1	1846395	1842192	9606.ENSP00000274547	9606.ENSP00000023897	0	0	0	0.848	0.226	0.145	0.900	0.795	0.936
GCG	PPY	1859292	1843068	9606.ENSP00000387662	9606.ENSP00000225992	0	0	0	0	0.213	0	0	0.922	0.936
TSHR	LHCGR	1847934	1847515	9606.ENSP00000298171	9606.ENSP00000294954	0	0	0	0.950	0	0.360	0.900	0.704	0.935
UGT2B10	AKR1C4	1845745	1845293	9606.ENSP00000265403	9606.ENSP00000263126	0	0	0	0	0.227	0	0.900	0.237	0.935
APOA4	RBP2	1853595	1843309	9606.ENSP00000350425	9606.ENSP00000232217	0	0	0	0	0.295	0	0.900	0.161	0.935
SFTPA2	SFTPD	1855660	1855655	9606.ENSP00000361400	9606.ENSP00000361366	0	0	0	0.814	0.292	0	0.900	0.697	0.935
CDH7	CDH9	1850119	1843273	9606.ENSP00000319166	9606.ENSP00000231021	0	0	0	0.967	0.052	0.359	0.900	0.364	0.934
HTR3A	HTR3C	1853212	1850469	9606.ENSP00000347754	9606.ENSP00000322617	0	0	0	0.864	0	0.285	0.900	0.896	0.934
MUC6	MUC21	1860626	1856474	9606.ENSP00000406861	9606.ENSP00000365473	0	0	0	0	0	0	0.900	0.375	0.934
CRABP1	CYP26B1	1848075	1842113	9606.ENSP00000299529	9606.ENSP00000001146	0	0	0	0	0.046	0	0.900	0.364	0.934
APOA2	FABP1	1854701	1847629	9606.ENSP00000356969	9606.ENSP00000295834	0	0	0	0	0.187	0	0.900	0.248	0.933
DCC	DSCAM	1859404	1858826	9606.ENSP00000389140	9606.ENSP00000383303	0	0	0	0.638	0.053	0.173	0.900	0.628	0.933
GABRA2	GABRB2	1853367	1846395	9606.ENSP00000348897	9606.ENSP00000274547	0	0	0	0.840	0.227	0.119	0.900	0.642	0.933
SPTA1	NCAM1	1854747	1850053	9606.ENSP00000357130	9606.ENSP00000318472	0	0	0	0	0.055	0	0.900	0.345	0.932
CD19	CR2	1862074	1854505	9606.ENSP00000437940	9606.ENSP00000356024	0	0	0	0	0.113	0.360	0	0.889	0.932
MMP9	MMP13	1855661	1844775	9606.ENSP00000361405	9606.ENSP00000260302	0	0	0	0.743	0.181	0	0.900	0.840	0.932
RBP4	RBP2	1855488	1843309	9606.ENSP00000360519	9606.ENSP00000232217	0	0	0	0	0.055	0	0.900	0.346	0.932
ASB4	SPSB4	1850345	1849444	9606.ENSP00000321388	9606.ENSP00000311609	0	0	0	0	0	0	0.900	0.331	0.930
MUC5AC	MUC21	1862009	1856474	9606.ENSP00000435591	9606.ENSP00000365473	0	0	0	0	0	0	0.900	0.328	0.929
FGF18	FGF23	1846400	1843471	9606.ENSP00000274625	9606.ENSP00000237837	0	0	0	0	0.054	0	0.900	0.304	0.928
COL25A1	COL23A1	1858694	1857880	9606.ENSP00000382083	9606.ENSP00000375069	0	0	0.516	0.756	0	0	0.900	0.758	0.928
APOA4	APCS	1853595	1844350	9606.ENSP00000350425	9606.ENSP00000255040	0	0	0	0	0.055	0	0.900	0.305	0.928
NPSR1	CALCA	1853905	1851388	9606.ENSP00000352839	9606.ENSP00000331746	0	0	0	0	0	0	0.900	0.304	0.927
AGTR2	SST	1855573	1847077	9606.ENSP00000360973	9606.ENSP00000287641	0	0	0	0	0	0	0.900	0.304	0.927
PTGDR2	SST	1851524	1847077	9606.ENSP00000332812	9606.ENSP00000287641	0	0	0	0	0	0	0.900	0.307	0.927
SPTA1	INS	1854747	1844030	9606.ENSP00000357130	9606.ENSP00000250971	0	0	0	0	0	0	0.900	0.297	0.926
FGF9	FGF23	1857512	1843471	9606.ENSP00000371790	9606.ENSP00000237837	0	0	0	0	0.054	0	0.900	0.290	0.926
GRIN2A	GRIA3	1851485	1845529	9606.ENSP00000332549	9606.ENSP00000264357	0	0	0	0.651	0.055	0.103	0.900	0.584	0.926
HAO2	DAO	1849865	1843145	9606.ENSP00000316339	9606.ENSP00000228476	0	0	0	0	0.247	0	0.800	0.551	0.926
B3GNT6	GCNT3	1862000	1858361	9606.ENSP00000435352	9606.ENSP00000379377	0	0	0	0	0	0	0.900	0.298	0.926
SSTR1	GAL	1845937	1845782	9606.ENSP00000267377	9606.ENSP00000265643	0	0	0	0	0.049	0	0.900	0.277	0.925
NPY5R	GAL	1852206	1845782	9606.ENSP00000339377	9606.ENSP00000265643	0	0	0	0	0.053	0	0.900	0.280	0.925
SLC17A8	SLC32A1	1849916	1842664	9606.ENSP00000316909	9606.ENSP00000217420	0	0	0	0	0.084	0	0.800	0.627	0.925
APCS	INS	1844350	1844030	9606.ENSP00000255040	9606.ENSP00000250971	0	0	0	0	0	0	0.900	0.283	0.925
TF	INS	1859071	1844030	9606.ENSP00000385834	9606.ENSP00000250971	0	0	0	0	0	0	0	0.925	0.925
B4GALNT1	ST8SIA5	1852474	1850337	9606.ENSP00000341562	9606.ENSP00000321343	0	0	0	0	0	0	0.900	0.282	0.925
SLC18A3	SLC32A1	1856047	1842664	9606.ENSP00000363229	9606.ENSP00000217420	0	0	0	0	0.105	0.048	0.800	0.610	0.924
GIP	LHCGR	1853529	1847515	9606.ENSP00000350005	9606.ENSP00000294954	0	0	0	0	0	0	0.900	0.272	0.924
ENPP1	IBSP	1854095	1843083	9606.ENSP00000354238	9606.ENSP00000226284	0	0	0	0	0.051	0	0.900	0.272	0.924
VIP	LHCGR	1854549	1847515	9606.ENSP00000356213	9606.ENSP00000294954	0	0	0	0	0	0	0.900	0.277	0.924
GIP	PCSK1	1853529	1849029	9606.ENSP00000350005	9606.ENSP00000308024	0	0	0	0	0	0	0.900	0.277	0.924
CAMK2B	GRIA1	1858327	1846982	9606.ENSP00000379098	9606.ENSP00000285900	0	0	0	0	0.055	0.069	0.900	0.245	0.924
SSTR5	PPY	1847454	1843068	9606.ENSP00000293897	9606.ENSP00000225992	0	0	0	0	0	0	0.900	0.277	0.924
SST	INS	1847077	1844030	9606.ENSP00000287641	9606.ENSP00000250971	0	0	0	0	0.191	0	0	0.910	0.924
GCG	VIP	1859292	1854549	9606.ENSP00000387662	9606.ENSP00000356213	0	0	0	0.700	0	0	0.900	0.787	0.923
CAMK2B	GRIA3	1858327	1845529	9606.ENSP00000379098	9606.ENSP00000264357	0	0	0	0	0.054	0.069	0.900	0.234	0.923
GCG	GPR83	1859292	1843679	9606.ENSP00000387662	9606.ENSP00000243673	0	0	0	0	0	0	0.900	0.263	0.923
GABRA5	GABRB2	1851869	1846395	9606.ENSP00000335592	9606.ENSP00000274547	0	0	0	0.844	0.120	0.119	0.900	0.609	0.923
FGF19	FGF18	1847477	1846400	9606.ENSP00000294312	9606.ENSP00000274625	0	0	0	0	0	0	0.900	0.271	0.923
GCG	TSHR	1859292	1847934	9606.ENSP00000387662	9606.ENSP00000298171	0	0	0	0	0	0	0.900	0.271	0.923
TSHR	SCTR	1847934	1842186	9606.ENSP00000298171	9606.ENSP00000019103	0	0	0	0	0.054	0	0.900	0.260	0.923
AGXT	DAO	1848429	1843145	9606.ENSP00000302620	9606.ENSP00000228476	0	0	0	0	0.129	0	0.900	0.191	0.923
CNTN2	NCAM1	1851273	1850053	9606.ENSP00000330633	9606.ENSP00000318472	0	0	0	0.621	0.105	0	0.900	0.456	0.922
SSTR1	PPY	1845937	1843068	9606.ENSP00000267377	9606.ENSP00000225992	0	0	0	0	0	0	0.900	0.259	0.922
VIP	CALCB	1854549	1853002	9606.ENSP00000356213	9606.ENSP00000346017	0	0	0	0	0	0	0.900	0.260	0.922
MMP9	CTRB1	1855661	1854101	9606.ENSP00000361405	9606.ENSP00000354294	0	0	0	0	0	0	0.900	0.246	0.921
HES6	NEUROG3	1846287	1843627	9606.ENSP00000272937	9606.ENSP00000242462	0	0	0	0	0	0.053	0.900	0.242	0.921
SYP	CHGA	1845310	1842607	9606.ENSP00000263233	9606.ENSP00000216492	0	0	0	0	0.055	0	0	0.920	0.921
FGF9	FGF19	1857512	1847477	9606.ENSP00000371790	9606.ENSP00000294312	0	0	0	0	0	0	0.900	0.248	0.921
GIP	MC4R	1853529	1848101	9606.ENSP00000350005	9606.ENSP00000299766	0	0	0	0	0	0	0.900	0.251	0.921
AGTR2	EDN3	1855573	1851964	9606.ENSP00000360973	9606.ENSP00000337128	0	0	0	0	0	0	0.900	0.236	0.920
GABRQ	GABRA2	1855216	1853367	9606.ENSP00000359329	9606.ENSP00000348897	0	0	0	0.808	0.053	0.104	0.900	0.737	0.920
CRP	INS	1844348	1844030	9606.ENSP00000255030	9606.ENSP00000250971	0	0	0	0	0	0	0	0.920	0.920
PLA2G12B	CYP4F2	1855812	1842855	9606.ENSP00000362123	9606.ENSP00000221700	0	0	0	0	0.227	0	0.900	0.050	0.920
UGT2B15	AKR1C4	1852407	1845293	9606.ENSP00000341045	9606.ENSP00000263126	0	0	0	0	0.102	0	0.900	0.172	0.919
NTSR1	TRH	1855276	1848532	9606.ENSP00000359532	9606.ENSP00000303452	0	0	0	0	0	0.066	0.900	0.212	0.919
SST	MCHR2	1847077	1846744	9606.ENSP00000287641	9606.ENSP00000281806	0	0	0	0	0.054	0	0.900	0.219	0.919
GABRA2	GABRA1	1853367	1842192	9606.ENSP00000348897	9606.ENSP00000023897	0	0	0	0.979	0.211	0	0.900	0.759	0.919
MC4R	TSHR	1848101	1847934	9606.ENSP00000299766	9606.ENSP00000298171	0	0	0	0	0.054	0	0.900	0.218	0.919
GABRB2	GABRA4	1846395	1845523	9606.ENSP00000274547	9606.ENSP00000264318	0	0	0	0.839	0.053	0.119	0.900	0.737	0.919
UGT2A1	CYP2A13	1859306	1851501	9606.ENSP00000387888	9606.ENSP00000332679	0.055	0	0	0	0.047	0	0.900	0.214	0.919
LHCGR	SCTR	1847515	1842186	9606.ENSP00000294954	9606.ENSP00000019103	0	0	0	0	0.054	0	0.900	0.212	0.918
MUC6	GCNT3	1860626	1858361	9606.ENSP00000406861	9606.ENSP00000379377	0	0	0	0	0	0	0.900	0.215	0.918
GABRQ	GABRA1	1855216	1842192	9606.ENSP00000359329	9606.ENSP00000023897	0	0	0	0.822	0.053	0.104	0.900	0.644	0.918
GRIA1	GRIA3	1846982	1845529	9606.ENSP00000285900	9606.ENSP00000264357	0	0	0	0.977	0.063	0.173	0.900	0.761	0.917
GPC3	HS3ST3A1	1858180	1846884	9606.ENSP00000377836	9606.ENSP00000284110	0	0	0	0	0.052	0	0.900	0.195	0.917
PNLIP	MOGAT3	1854981	1842960	9606.ENSP00000358223	9606.ENSP00000223114	0	0	0	0	0	0	0.900	0.212	0.917
CALCA	LHCGR	1851388	1847515	9606.ENSP00000331746	9606.ENSP00000294954	0	0	0	0	0	0	0.900	0.210	0.917
GCG	ADCY8	1859292	1847008	9606.ENSP00000387662	9606.ENSP00000286355	0	0	0	0	0	0	0.900	0.199	0.916
FGF18	FGF10	1846400	1845589	9606.ENSP00000274625	9606.ENSP00000264664	0	0	0	0.677	0	0	0.900	0.531	0.916
GNAT3	PPY	1858594	1843068	9606.ENSP00000381339	9606.ENSP00000225992	0	0	0	0	0	0	0.900	0.198	0.916
FGF19	FGF23	1847477	1843471	9606.ENSP00000294312	9606.ENSP00000237837	0	0	0	0.730	0	0	0.900	0.621	0.916
DDC	TPO	1853612	1850079	9606.ENSP00000350616	9606.ENSP00000318820	0	0	0	0	0	0	0.900	0.186	0.915
GNAT3	NPY5R	1858594	1852206	9606.ENSP00000381339	9606.ENSP00000339377	0	0	0	0	0	0.170	0.900	0.064	0.915
GCG	LHCGR	1859292	1847515	9606.ENSP00000387662	9606.ENSP00000294954	0	0	0	0	0	0	0.900	0.194	0.915
FGF9	FGF18	1857512	1846400	9606.ENSP00000371790	9606.ENSP00000274625	0	0	0	0.705	0.049	0	0.900	0.513	0.915
CDH7	CDH17	1850119	1842198	9606.ENSP00000319166	9606.ENSP00000027335	0	0	0	0.663	0	0	0.900	0.482	0.915
SLC18A3	SLC17A6	1856047	1845295	9606.ENSP00000363229	9606.ENSP00000263160	0	0	0	0	0.057	0	0.800	0.587	0.915
GNAT3	MCHR2	1858594	1846744	9606.ENSP00000381339	9606.ENSP00000281806	0	0	0	0	0	0.170	0.900	0.064	0.915
RXFP2	LHCGR	1847959	1847515	9606.ENSP00000298386	9606.ENSP00000294954	0	0	0	0.656	0.053	0	0.900	0.449	0.915
GNAT3	SSTR5	1858594	1847454	9606.ENSP00000381339	9606.ENSP00000293897	0	0	0	0	0	0.170	0.900	0.064	0.915
GNAT3	SSTR1	1858594	1845937	9606.ENSP00000381339	9606.ENSP00000267377	0	0	0	0	0	0.170	0.900	0.067	0.915
EDN3	TRH	1851964	1848532	9606.ENSP00000337128	9606.ENSP00000303452	0	0	0	0	0	0	0.900	0.185	0.915
GNAT3	AGTR2	1858594	1855573	9606.ENSP00000381339	9606.ENSP00000360973	0	0	0	0	0	0.170	0.900	0.064	0.915
GNAT3	HTR1E	1858594	1848996	9606.ENSP00000381339	9606.ENSP00000307766	0	0	0	0	0	0.170	0.900	0.064	0.915
MC4R	LHCGR	1848101	1847515	9606.ENSP00000299766	9606.ENSP00000294954	0	0	0	0	0.054	0	0.900	0.179	0.915
MCHR2	UTS2	1846744	1842225	9606.ENSP00000281806	9606.ENSP00000054668	0	0	0	0	0	0	0.900	0.187	0.915
